DMACode,DMA,LongDMA,NielsenDMA
500,"Portland, ME","Portland-Auburn, ME",PORTLAND-AUBURN
501,"New York, NY","New York, NY",NEW YORK
502,"Binghamton, NY","Binghamton, NY",BINGHAMTON
503,"Macon, GA","Macon, GA",MACON
504,"Philadelphia, PA","Philadelphia, PA",PHILADELPHIA
505,"Detroit, MI","Detroit, MI",DETROIT
506,"Boston, MA","Boston-Manchester, MA-NH",BOSTON (MANCHESTER)
507,"Savannah, GA","Savannah, GA",SAVANNAH
508,"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH
509,"Ft. Wayne, IN","Ft. Wayne, IN",FT. WAYNE
510,"Cleveland, OH","Cleveland-Akron-Canton, OH",CLEVELAND-AKRON (CANTON)
511,"Washington, DC","Washington-Hagerstown, DC-MD","WASHINGTON, DC (HAGERSTOWN)"
512,"Baltimore, MD","Baltimore, MD",BALTIMORE
513,"Flint, MI","Flint-Saginaw-Bay City, MI",FLINT-SAGINAW-BAY CITY
514,"Buffalo, NY","Buffalo, NY",BUFFALO
515,"Cincinnati, OH","Cincinnati, OH",CINCINNATI
516,"Erie, PA","Erie, PA",ERIE
517,"Charlotte, NC","Charlotte, NC",CHARLOTTE
518,"Greensboro, NC","Greensboro-High Point-Winston Salem, NC",GREENSBORO-HIGH POINT-WINSTON-SALEM
519,"Charleston, SC","Charleston, SC",CHARLESTON
520,"Augusta, GA","Augusta-Aiken, GA-SC",AUGUSTA
521,"Providence, RI","Providence-New Bedford, RI-MA",PROVIDENCE-NEW BEDFORD
522,"Columbus, GA","Columbus-Opelika, GA-AL",COLUMBUS
523,"Burlington, VT","Burlington-Plattsburgh, VT-NY",BURLINGTON PLATTSBURGH
524,"Atlanta, GA","Atlanta, GA",ATLANTA
525,"Albany, GA","Albany, GA",ALBANY
526,"Utica, NY","Utica, NY",UTICA
527,"Indianapolis, IN","Indianapolis, IN",INDIANAPOLIS
528,"Miami, FL","Miami-Ft. Lauderdale, FL",MIAMI-FT. LAUDERDALE
